numero,descricao,bug,tech_debt,repo,ultima_alteracao,ideia,para_rodar,em_progresso,para_homologacao,em_homologacao,em_producao,aprendemos,cycle_time,lead_time
253,A página de feedback está com o cabeçalho cortado,true,false,servicosgovbr/guia-de-servicos,05/18/15 11:44,05/07/15 15:36,05/07/15 15:36,05/07/15 15:36,05/07/15 15:36,05/07/15 15:36,05/07/15 15:36,05/07/15 17:22,1,1
252,Campos de busca não estilizados no IE 8,true,false,servicosgovbr/guia-de-servicos,05/08/15 14:03,05/07/15 14:51,05/07/15 14:51,05/07/15 14:51,05/07/15 14:51,05/07/15 14:51,05/07/15 14:51,05/07/15 16:01,1,1
251,Ícones do Font Awesome não estão aparecendo no IE 8,true,false,servicosgovbr/guia-de-servicos,05/14/15 14:06,05/06/15 20:34,05/06/15 20:34,05/06/15 20:34,05/06/15 20:34,05/06/15 20:34,05/06/15 20:34,05/08/15 19:50,1,2
250,Barra Brasil não está mostrando os links da direita no IE 8,true,false,servicosgovbr/guia-de-servicos,05/08/15 14:03,05/06/15 20:02,05/06/15 20:02,05/06/15 20:02,05/06/15 20:02,05/06/15 20:02,05/06/15 20:02,05/07/15 16:02,1,1
249,robots.txt permitindo indexação do alpha,true,false,servicosgovbr/guia-de-servicos,05/06/15 17:52,05/06/15 17:43,05/06/15 17:43,05/06/15 17:43,05/06/15 17:43,05/06/15 17:43,05/06/15 17:43,05/06/15 17:44,1,1
248,Definir ícone para novas linhas da vida,true,false,servicosgovbr/guia-de-servicos,05/08/15 14:02,05/06/15 14:21,05/06/15 14:21,05/06/15 14:21,05/06/15 14:21,05/06/15 14:21,05/06/15 14:21,05/08/15 11:51,1,2
247,Esconder a migalha-de-pão nos dipositivos mobile,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/06/15 14:00,05/06/15 14:00,05/06/15 14:00,05/06/15 14:00,05/06/15 14:00,05/06/15 14:00,05/06/15 17:45,1,1
246,Rodapé da Barra Brasil não está com os estilos corretos no IE8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/06/15 11:48,05/06/15 11:48,05/06/15 11:48,05/06/15 11:48,05/06/15 11:48,05/06/15 11:48,05/07/15 14:04,1,1
245,Está mostrando um ícone junto com o ícone de pesquisa,true,false,servicosgovbr/guia-de-servicos,05/06/15 12:10,05/06/15 11:33,05/06/15 11:33,05/06/15 11:33,05/06/15 11:33,05/06/15 11:33,05/06/15 11:33,05/06/15 12:10,1,1
244,Links estão com a cor azul no IE8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/06/15 11:32,05/06/15 11:32,05/06/15 11:32,05/06/15 11:32,05/06/15 11:32,05/06/15 11:32,05/07/15 14:04,1,1
243,Verificar erros e warnings indicados pelo Chrome Audit,false,false,servicosgovbr/guia-de-servicos,05/06/15 11:25,05/06/15 11:21,,,,,,,,
242,Fontes estão renderizando em um peso menor nos celulares,true,false,servicosgovbr/guia-de-servicos,05/08/15 17:39,05/05/15 18:42,05/05/15 18:42,05/05/15 18:42,05/05/15 18:42,05/05/15 18:42,05/05/15 18:42,05/07/15 15:26,1,2
241,Extrair variáveis SCSS,false,true,servicosgovbr/guia-de-servicos,05/06/15 14:09,05/05/15 18:41,05/05/15 18:41,05/05/15 18:41,05/05/15 18:41,05/05/15 18:41,05/05/15 18:41,,1,
240,Ajustes de margens à direita para mobile e tablet,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/05/15 18:07,05/05/15 18:07,05/05/15 18:07,05/05/15 18:07,05/05/15 18:07,05/05/15 18:07,05/07/15 14:04,1,2
239,Efeitos CSS não estão funcionando no IE 8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:18,05/05/15 17:36,05/05/15 17:36,05/05/15 17:36,05/05/15 17:36,05/05/15 17:36,05/05/15 17:36,05/07/15 14:18,1,2
238,Corrigir grid css no IE 8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/05/15 17:32,05/05/15 17:32,05/05/15 17:32,05/05/15 17:32,05/05/15 17:32,05/05/15 17:32,05/07/15 14:04,1,2
237,Corrigir cabeçalho da página no IE 8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/05/15 17:29,05/05/15 17:29,05/05/15 17:29,05/05/15 17:29,05/05/15 17:29,05/05/15 17:29,05/07/15 14:04,1,2
236,Versão do JQuery usada no site não é suportada pelo Internet Explorer 8,true,false,servicosgovbr/guia-de-servicos,05/07/15 14:04,05/05/15 17:27,05/05/15 17:27,05/05/15 17:27,05/05/15 17:27,05/05/15 17:27,05/05/15 17:27,05/07/15 14:04,1,2
235,Campo de busca deve ser marcado com tipo search no html,true,false,servicosgovbr/guia-de-servicos,05/05/15 17:16,05/05/15 14:39,05/05/15 14:39,05/05/15 14:39,05/05/15 14:39,05/05/15 14:39,05/05/15 14:39,05/05/15 17:16,1,1
234,Atalho de busca na home não deixa campo ativo,true,false,servicosgovbr/guia-de-servicos,05/06/15 17:45,04/30/15 10:02,04/30/15 13:57,04/30/15 13:57,04/30/15 13:57,04/30/15 13:57,04/30/15 13:57,05/06/15 17:45,1,6
233,Validação do formulário de feedback,true,false,servicosgovbr/guia-de-servicos,05/06/15 17:45,04/29/15 11:21,04/29/15 11:21,04/29/15 11:21,04/29/15 11:21,04/29/15 11:21,04/29/15 11:21,05/06/15 17:45,1,7
232,Formulário de feedback retorna msg em inglês se usuário não selecionar uma das opções,false,false,servicosgovbr/guia-de-servicos,04/29/15 10:43,04/29/15 10:02,04/29/15 10:43,04/29/15 10:43,04/29/15 10:43,04/29/15 10:43,04/29/15 10:43,04/29/15 10:43,1,1
231,Ajustar o alinhamento dos elementos da página em tablets,false,false,servicosgovbr/guia-de-servicos,05/19/15 10:06,04/28/15 17:31,04/28/15 17:31,04/28/15 17:31,04/28/15 17:31,04/28/15 17:31,04/28/15 17:31,,1,
230,Ajustar o alinhamento dos elementos da página em smartphones,false,false,servicosgovbr/guia-de-servicos,05/19/15 10:06,04/28/15 17:28,04/28/15 17:28,04/28/15 17:28,04/28/15 17:28,04/28/15 17:28,04/28/15 17:28,,1,
229,"Esconder a navegação por atalhos (1, 2, 3, 4) até a quebra de 760px e mostrar os itens Acessibilidade / Alto Contraste / Mapa do Site abaixo da Barra Brasil",true,false,servicosgovbr/guia-de-servicos,04/30/15 13:45,04/28/15 16:51,04/28/15 16:51,04/28/15 16:51,04/28/15 16:51,04/28/15 16:51,04/28/15 16:51,04/30/15 13:44,1,2
228,Selecionar destaques manuais,false,false,servicosgovbr/guia-de-servicos,05/14/15 11:36,04/28/15 14:41,04/28/15 14:41,04/28/15 14:41,04/28/15 14:41,04/28/15 14:41,04/28/15 14:41,,1,
227,Revisar estrutura de headings,true,false,servicosgovbr/guia-de-servicos,05/06/15 17:45,04/28/15 13:33,04/28/15 13:33,04/28/15 13:33,04/28/15 13:33,04/28/15 13:33,04/28/15 13:33,05/06/15 17:45,1,8
226,Alto contraste não funciona sem JavaScript,true,false,servicosgovbr/guia-de-servicos,05/14/15 18:47,04/28/15 12:11,04/28/15 12:15,04/28/15 12:15,04/28/15 12:15,04/28/15 12:15,04/28/15 12:15,,1,
225,Barra Brasil não funciona sem JavaScript,true,false,servicosgovbr/guia-de-servicos,05/14/15 18:47,04/28/15 12:11,04/28/15 12:16,04/28/15 12:16,04/28/15 12:16,04/28/15 12:16,04/28/15 12:16,,1,
224,Visualização de serviços por ordem alfabética,true,false,servicosgovbr/guia-de-servicos,04/28/15 13:45,04/28/15 12:03,04/28/15 12:03,04/28/15 12:03,04/28/15 12:03,04/28/15 12:03,04/28/15 12:03,04/28/15 13:27,1,1
223,Revisar títulos das páginas,false,false,servicosgovbr/guia-de-servicos,04/28/15 12:10,04/28/15 11:53,04/28/15 11:53,04/28/15 11:53,04/28/15 11:53,04/28/15 11:53,04/28/15 11:53,04/28/15 12:10,1,1
222,Remover @title,false,false,servicosgovbr/guia-de-servicos,04/28/15 12:10,04/28/15 11:49,04/28/15 11:49,04/28/15 11:49,04/28/15 11:49,04/28/15 11:49,04/28/15 11:49,04/28/15 12:10,1,1
221,Buscar por conteúdo / órgão,false,false,servicosgovbr/guia-de-servicos,05/15/15 14:12,04/27/15 16:50,04/27/15 16:50,04/27/15 16:50,04/27/15 16:50,04/27/15 16:50,04/27/15 16:50,,1,
220,"Incluir pergunta sobre ""Sua conta"" no FAQ",false,false,servicosgovbr/guia-de-servicos,04/28/15 15:19,04/27/15 16:49,04/27/15 16:49,04/27/15 16:49,04/27/15 16:49,04/27/15 16:49,04/27/15 16:49,04/28/15 09:53,1,1
219,"Eliminar ""Sua Conta""",false,false,servicosgovbr/guia-de-servicos,04/28/15 09:53,04/27/15 16:42,04/27/15 16:42,04/27/15 16:42,04/27/15 16:42,04/27/15 16:42,04/27/15 16:42,04/28/15 09:53,1,1
218,Retirar telefone da ouvidoria do MEC,false,false,servicosgovbr/guia-de-servicos,04/28/15 09:53,04/27/15 16:35,04/27/15 16:35,04/27/15 16:35,04/27/15 16:35,04/27/15 16:35,04/27/15 16:35,04/28/15 09:53,1,1
217,"Modificar texto ""Este é um serviço...""",false,false,servicosgovbr/guia-de-servicos,04/28/15 11:00,04/27/15 15:56,04/27/15 15:56,04/27/15 15:56,04/27/15 15:56,04/27/15 15:56,04/27/15 15:56,04/28/15 11:00,1,1
216,Menu hamburguer para linhas da vida,false,false,servicosgovbr/guia-de-servicos,05/19/15 11:39,04/27/15 15:50,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,,1,
215,Modificar frase do destaque de feedback,false,false,servicosgovbr/guia-de-servicos,05/14/15 10:48,04/27/15 15:47,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,04/27/15 22:45,,1,
214,Revisar performance das maquinas virtuais,false,true,servicosgovbr/guia-de-servicos,05/06/15 19:10,04/27/15 15:36,04/27/15 15:36,04/27/15 15:36,04/27/15 15:36,04/27/15 15:36,04/27/15 15:36,05/06/15 19:10,1,9
213,Links pouco visíveis no corpo,false,false,servicosgovbr/guia-de-servicos,05/15/15 11:11,04/27/15 15:20,04/27/15 15:20,04/27/15 15:20,04/27/15 15:20,04/27/15 15:20,04/27/15 15:20,,1,
212,Ordenar VMs Vagrant,true,false,servicosgovbr/guia-de-servicos,04/28/15 13:44,04/27/15 14:58,04/27/15 14:58,04/27/15 14:58,04/27/15 14:58,04/27/15 14:58,04/27/15 14:58,04/28/15 13:44,1,1
211,SSH para máquinas Vagrant não funcionam como na documentação,true,false,servicosgovbr/guia-de-servicos,05/04/15 15:15,04/27/15 14:41,04/27/15 14:41,04/27/15 14:41,04/27/15 14:41,04/27/15 14:41,04/27/15 14:41,05/04/15 15:15,1,7
210,Agrupar configurações de monitoramento,false,true,servicosgovbr/guia-de-servicos,05/07/15 17:25,04/27/15 14:33,04/27/15 14:33,04/27/15 14:33,04/27/15 14:33,04/27/15 14:33,04/27/15 14:33,05/07/15 17:25,1,10
209,Link do formulário de feedback não deixa claro o que o usuário tem que fazer ,false,false,servicosgovbr/guia-de-servicos,05/01/15 12:41,04/27/15 12:20,04/27/15 12:20,04/27/15 12:20,04/27/15 12:20,04/27/15 12:20,04/27/15 12:20,,1,
